Col_id,Col_time,Col_item,Col_power,Col_current,Col_voltage,Col_electricity
179,2025-12-05 06:47:08,MAC,6.9,68.0,101.4,900.0
180,2025-12-05 06:50:09,AIR,2.1,28.0,102.2,889.0
181,2025-12-05 06:50:09,ICE,40.9,517.0,102.5,1289.0
182,2025-12-05 06:50:09,WAT,0.0,0.0,101.6,1426.0
183,2025-12-05 06:50:09,MAC,6.9,68.0,101.4,900.0
184,2025-12-05 06:53:10,AIR,2.1,28.0,102.2,889.0
185,2025-12-05 06:53:10,ICE,40.9,517.0,102.5,1289.0
186,2025-12-05 06:53:10,WAT,0.0,0.0,101.6,1426.0
187,2025-12-05 06:53:10,MAC,6.9,68.0,101.4,900.0
188,2025-12-05 06:56:10,AIR,2.1,28.0,102.2,889.0
189,2025-12-05 06:56:10,ICE,40.9,517.0,102.5,1289.0
190,2025-12-05 06:56:10,WAT,0.0,0.0,101.6,1426.0
191,2025-12-05 06:56:10,MAC,6.9,68.0,101.4,900.0
192,2025-12-05 06:59:11,AIR,2.1,28.0,102.2,889.0
193,2025-12-05 06:59:11,ICE,40.9,517.0,102.5,1289.0
194,2025-12-05 06:59:11,WAT,0.0,0.0,101.6,1426.0
195,2025-12-05 06:59:11,MAC,6.9,68.0,101.4,900.0
196,2025-12-05 07:02:12,AIR,2.1,28.0,102.2,889.0
197,2025-12-05 07:02:12,ICE,40.9,517.0,102.5,1289.0
198,2025-12-05 07:02:12,WAT,0.0,0.0,101.6,1426.0
199,2025-12-05 07:02:12,MAC,6.9,68.0,101.4,900.0
200,2025-12-05 07:05:14,AIR,2.1,28.0,102.2,889.0
201,2025-12-05 07:05:14,ICE,40.9,517.0,102.5,1289.0
202,2025-12-05 07:05:14,WAT,0.0,0.0,101.6,1426.0
203,2025-12-05 07:05:14,MAC,6.9,68.0,101.4,900.0
204,2025-12-05 07:08:14,AIR,2.1,28.0,102.2,889.0
205,2025-12-05 07:08:14,ICE,40.9,517.0,102.5,1289.0
206,2025-12-05 07:08:14,WAT,0.0,0.0,101.6,1426.0
207,2025-12-05 07:08:14,MAC,6.9,68.0,101.4,900.0
208,2025-12-05 07:11:15,AIR,2.1,28.0,102.2,889.0
209,2025-12-05 07:11:15,ICE,40.9,517.0,102.5,1289.0
210,2025-12-05 07:11:15,WAT,0.0,0.0,101.6,1426.0
211,2025-12-05 07:11:15,MAC,6.9,68.0,101.4,900.0
212,2025-12-05 07:14:16,AIR,2.1,28.0,102.2,889.0
213,2025-12-05 07:14:16,ICE,40.9,517.0,102.5,1289.0
214,2025-12-05 07:14:16,WAT,0.0,0.0,101.6,1426.0
215,2025-12-05 07:14:16,MAC,6.9,68.0,101.4,900.0
216,2025-12-05 07:17:17,AIR,2.1,28.0,102.2,889.0
217,2025-12-05 07:17:17,ICE,40.9,517.0,102.5,1289.0
218,2025-12-05 07:17:17,WAT,0.0,0.0,101.6,1426.0
219,2025-12-05 07:17:17,MAC,6.9,68.0,101.4,900.0
220,2025-12-05 07:20:18,AIR,2.1,28.0,102.2,889.0
221,2025-12-05 07:20:18,ICE,3.0,29.0,102.2,1338.0
222,2025-12-05 07:20:18,WAT,0.0,0.0,101.6,1426.0
223,2025-12-05 07:20:18,MAC,6.9,68.0,101.4,900.0
224,2025-12-05 07:23:19,AIR,2.1,28.0,102.2,889.0
225,2025-12-05 07:23:19,ICE,3.0,29.0,102.2,1338.0
226,2025-12-05 07:23:19,WAT,0.0,0.0,101.6,1426.0
227,2025-12-05 07:23:19,MAC,6.9,68.0,101.4,900.0
228,2025-12-05 07:26:20,AIR,2.1,28.0,102.2,889.0
229,2025-12-05 07:26:20,ICE,3.0,29.0,102.2,1338.0
230,2025-12-05 07:26:20,WAT,0.0,0.0,101.6,1426.0
231,2025-12-05 07:26:20,MAC,6.9,68.0,101.4,900.0
232,2025-12-05 07:29:21,AIR,2.1,28.0,102.2,889.0
233,2025-12-05 07:29:21,ICE,3.0,29.0,102.2,1338.0
234,2025-12-05 07:29:21,WAT,0.0,0.0,101.6,1426.0
235,2025-12-05 07:29:21,MAC,6.9,68.0,101.4,900.0
236,2025-12-05 07:32:22,AIR,2.1,28.0,102.2,889.0
237,2025-12-05 07:32:22,ICE,3.0,29.0,102.2,1338.0
238,2025-12-05 07:32:22,WAT,0.0,0.0,101.6,1426.0
239,2025-12-05 07:32:22,MAC,6.9,68.0,101.4,900.0
240,2025-12-05 07:35:23,AIR,2.1,28.0,102.2,889.0
241,2025-12-05 07:35:23,ICE,53.1,673.0,102.5,1355.0
242,2025-12-05 07:35:23,WAT,0.0,0.0,101.6,1426.0
243,2025-12-05 07:35:23,MAC,6.9,68.0,101.4,900.0
244,2025-12-05 07:38:24,AIR,2.1,28.0,102.2,889.0
245,2025-12-05 07:38:24,ICE,40.8,514.0,102.9,1356.0
246,2025-12-05 07:38:24,WAT,0.0,0.0,101.6,1426.0
247,2025-12-05 07:38:24,MAC,6.9,68.0,101.4,900.0
248,2025-12-05 07:41:25,AIR,2.1,28.0,102.2,889.0
249,2025-12-05 07:41:25,ICE,40.8,514.0,102.9,1356.0
250,2025-12-05 07:41:25,WAT,0.0,0.0,101.6,1426.0
251,2025-12-05 07:41:25,MAC,6.9,68.0,101.4,900.0
252,2025-12-05 07:44:26,AIR,2.1,28.0,102.2,889.0
253,2025-12-05 07:44:26,ICE,40.8,514.0,102.9,1356.0
254,2025-12-05 07:44:26,WAT,0.0,0.0,101.6,1426.0
255,2025-12-05 07:44:26,MAC,6.9,68.0,101.4,900.0
256,2025-12-05 07:47:27,AIR,2.1,28.0,102.2,889.0
257,2025-12-05 07:47:27,ICE,40.8,514.0,102.9,1356.0
258,2025-12-05 07:47:27,WAT,0.0,0.0,101.6,1426.0
259,2025-12-05 07:47:27,MAC,6.9,68.0,101.4,900.0
260,2025-12-05 07:50:28,AIR,2.1,28.0,102.2,889.0
261,2025-12-05 07:50:28,ICE,40.8,514.0,102.9,1356.0
262,2025-12-05 07:50:28,WAT,0.0,0.0,101.6,1426.0
263,2025-12-05 07:50:28,MAC,6.9,68.0,101.4,900.0
264,2025-12-05 07:53:29,AIR,2.1,28.0,102.2,889.0
265,2025-12-05 07:53:29,ICE,40.8,514.0,102.9,1356.0
266,2025-12-05 07:53:29,WAT,0.0,0.0,101.6,1426.0
267,2025-12-05 07:53:29,MAC,6.9,68.0,101.4,900.0
268,2025-12-05 07:56:30,AIR,2.1,28.0,102.2,889.0
269,2025-12-05 07:56:30,ICE,40.8,514.0,102.9,1356.0
270,2025-12-05 07:56:30,WAT,0.0,0.0,101.6,1426.0
271,2025-12-05 07:56:30,MAC,6.9,68.0,101.4,900.0
272,2025-12-05 07:59:31,AIR,2.1,28.0,102.2,889.0
273,2025-12-05 07:59:31,ICE,1.5,30.0,102.9,1377.0
274,2025-12-05 07:59:31,WAT,0.0,0.0,101.6,1426.0
275,2025-12-05 07:59:31,MAC,6.9,68.0,101.4,900.0
276,2025-12-05 08:02:32,AIR,2.1,28.0,102.2,889.0
277,2025-12-05 08:02:32,ICE,1.5,30.0,102.9,1377.0
278,2025-12-05 08:02:32,WAT,0.0,0.0,101.6,1426.0
279,2025-12-05 08:02:32,MAC,6.9,68.0,101.4,900.0
280,2025-12-05 08:05:33,AIR,2.1,28.0,102.2,889.0
281,2025-12-05 08:05:33,ICE,1.5,30.0,102.9,1377.0
282,2025-12-05 08:05:33,WAT,0.0,0.0,101.6,1426.0
283,2025-12-05 08:05:33,MAC,6.9,68.0,101.4,900.0
284,2025-12-05 08:08:34,AIR,2.1,28.0,102.2,889.0
285,2025-12-05 08:08:34,ICE,1.5,30.0,102.9,1377.0
286,2025-12-05 08:08:34,WAT,0.0,0.0,101.6,1426.0
287,2025-12-05 08:08:34,MAC,6.9,68.0,101.4,900.0
288,2025-12-05 08:11:35,AIR,2.1,28.0,102.2,889.0
289,2025-12-05 08:11:35,ICE,1.5,30.0,102.9,1377.0
290,2025-12-05 08:11:35,WAT,0.0,0.0,101.6,1426.0
291,2025-12-05 08:11:35,MAC,6.9,68.0,101.4,900.0
292,2025-12-05 08:14:36,AIR,2.1,28.0,102.2,889.0
